line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
46	3408	There is no limit to what North Korea can achieve when it gives up its nuclear weapons and embraces commerce and engagement with the rest of the world  that really wants to engage.	With North Korea, "nobody has ever seen such a positive response on our behalf from China."	opinion			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
46	4205	There is no limit to what North Korea can achieve when it gives up its nuclear weapons and embraces commerce and engagement with the rest of the world  that really wants to engage.	Says Donald Trump "never said that" more nations should get nuclear weapons.	opinion			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
46	4814	There is no limit to what North Korea can achieve when it gives up its nuclear weapons and embraces commerce and engagement with the rest of the world  that really wants to engage.	Says Donald Trump has said he loves war, "including with nukes."	opinion			unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
46	2165	There is no limit to what North Korea can achieve when it gives up its nuclear weapons and embraces commerce and engagement with the rest of the world  that really wants to engage.	SaysNorth Korea has "agreed to denuclearization."	opinion			discuss	unrelated	discuss	discuss	unknown	unknown	unknown	unknown
48	2165	Chairman Kim and I just signed a joint statement in which he reaffirmed his "unwavering commitment to complete denuclearization of the Korean Peninsula."	SaysNorth Korea has "agreed to denuclearization."				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
48	3391	Chairman Kim and I just signed a joint statement in which he reaffirmed his "unwavering commitment to complete denuclearization of the Korean Peninsula."	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				discuss	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
48	4155	Chairman Kim and I just signed a joint statement in which he reaffirmed his "unwavering commitment to complete denuclearization of the Korean Peninsula."	Donald Trump has said "nuclear proliferation is OK."				disagree	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
52	120	This isn't another administration that never got it started and therefore never got it done.	Says Andy Rooney wrote a long commentary defending prayer and Christianity in the United States.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
52	1967	This isn't another administration that never got it started and therefore never got it done.	Says Bill Clinton "spent $3 billion and got nothing. And (North Korea) started making nuclear weapons a day later."				agree	agree	disagree	agree	unknown	unknown	unknown	unknown
53	3391	Chairman Kim has told me that North Korea is already destroying a major missile engine testing site.	The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twentyfold.				discuss	unrelated	disagree	discuss	unknown	unknown	unknown	unknown
