annotator	line_number	vclaim_id	vclaim_url	date	label	sentence	vclaim	stance	verdict	
ai	34	1917	http://politifact.com/wisconsin/statements/2018/jun/29/kevin-nicholson/tammy-baldwin-opponent-errs-claiming-billions-doll/	on Friday, June 29th, 2018	Mostly False	Iran is a real problem for this country.	The Iran deal "handed billions of dollars of cash on cargo planes, sent it to a state sponsor of terror, and Tammy Baldwin was one of the first U.S. senators to get on board and support that."	agree	unknown	Adjective case
ai	34	13198	http://politifact.com/truth-o-meter/statements/2011/apr/25/donald-trump/donald-trump-says-iraq-has-second-biggest-oilfield/	on Monday, April 25th, 2011	Mostly True	Iran is a real problem for this country.	Iraq has the secondlargest oilfields in the world (behind) Saudi Arabia.	unrelated	unknown	
ai	34	10168	http://politifact.com/truth-o-meter/statements/2012/oct/15/paul-ryan/paul-ryan-says-obama-administration-watered-down-s/	on Monday, October 15th, 2012	Mostly False	Iran is a real problem for this country.	Says the Obama administration "watered down sanctions" against Iran, delayed them and tried to stop Congress "from putting the tough sanctions in place."	discuss	unknown	
ai	34	2677	http://politifact.com/north-carolina/statements/2017/nov/16/sebastian-gorka/fact-check-former-white-house-aide-says-iran-every/	on Thursday, November 16th, 2017	FALSE	Iran is a real problem for this country.	Irans regime "every Friday declares war on us."	agree	unknown	
ai	34	5254	http://politifact.com/truth-o-meter/statements/2016/mar/17/donald-trump/no-donald-trump-we-are-not-giving-iran-150-billion/	on Thursday, March 17th, 2016	FALSE	Iran is a real problem for this country.	Under the Iran nuclear deal, "we give them $150 billion, we get nothing."	unrelated	unknown	
ai	34	6070	http://politifact.com/truth-o-meter/statements/2015/aug/16/donald-trump/donald-trump-iran-gets-keep-150-billion-even-if-us/	on Sunday, August 16th, 2015	Half-True	Iran is a real problem for this country.	Says "if the (Iran nuclear) deal gets rejected, they still get" $150 billion.	unrelated	unknown	
ai	34	11558	http://politifact.com/truth-o-meter/statements/2012/feb/24/mitt-romney/mitt-romney-says-barack-obama-could-have-gotten-cr/	on Thursday, February 23rd, 2012	Mostly False	Iran is a real problem for this country.	This president ... could have gotten crippling sanctions against Iran. He did not.	discuss	unknown	
ai	34	1170	http://politifact.com/truth-o-meter/statements/2018/dec/21/donald-trump/donald-trump-claims-russia-not-happy-us-troops-are/	on Friday, December 21st, 2018	FALSE	Iran is a real problem for this country.	Russia, Iran, Syria  many others are not happy about U.S. troops leaving Syria.	unrelated	unknown	
ai	34	5864	http://politifact.com/georgia/statements/2015/oct/13/lynn-westmoreland/Westmoreland-ran-doesnt-have-to-prove-nuclear-plan/	on Tuesday, October 13th, 2015	FALSE	Iran is a real problem for this country.	President Barack Obama and Secretary of State John Kerry agreed "to lift Irans economic and arms sanctions without any proof of change in conduct."	discuss	unknown	
ai	34	9858	http://politifact.com/truth-o-meter/statements/2013/jan/11/ileana-ros-lehtinen/ros-lehtinen-said-defense-secretary-nominee-hagel-/	on Friday, January 11th, 2013	Half-True	Iran is a real problem for this country.	Says Chuck Hagel "opposed sanctions against Iran."	unrelated	unknown	
ai	35	2137	http://politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/	on Friday, April 27th, 2018	Half-True	The president made a horrible deal.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	repeated	repeated	
ni	35	2137	http://politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/	on Friday, April 27th, 2018	Half-True	The president made a horrible deal.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	agree	unknown	Agree because the number in the vclaim is very high
ai	36	2137	http://politifact.com/truth-o-meter/statements/2018/apr/27/donald-trump/donald-trump-iran-150-billion-and-18-billion-c/	on Friday, April 27th, 2018	Half-True	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	The nuclear deal gave Iran "$150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes."	repeated	repeated	
ai	36	224	http://politifact.com/truth-o-meter/statements/2019/aug/27/donald-trump/donald-trump-miscasts-money-and-terms-iran-nuclear/	on Tuesday, August 27th, 2019	Mostly False	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	We made a ridiculous deal (with Iran). We gave them $150 billion. We gave them $1.8 billion, and we got nothing.	repeated	repeated	
ai	36	5254	http://politifact.com/truth-o-meter/statements/2016/mar/17/donald-trump/no-donald-trump-we-are-not-giving-iran-150-billion/	on Thursday, March 17th, 2016	FALSE	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	Under the Iran nuclear deal, "we give them $150 billion, we get nothing."	repeated	repeated	
ai	36	4517	http://politifact.com/north-carolina/statements/2016/aug/05/richard-burr/nc-sen-richard-burr-says-nuclear-deal-will-arm-ira/	on Friday, August 5th, 2016	Half-True	When I say the president, I'm talking about past administration made a horrible deal giving $150 billion, giving $1.8 billion in cash  in actual cash carried out in barrels and in boxes from airplanes.	Says Barack Obama and Hillary Clinton are "responsible for leading America into a deal that will arm Iran."	discuss	unknown	
