line_number	vclaim_id	sentence	vclaim	comment-1	comment-2	comment-3	stance-1	stance-2	stance-3	stance	verdict-1	verdict-2	verdict-3	verdict
2	2976	And just so you know from the Secret Service, there aren't too many people outside protesting, OK. That I can tell you.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.				agree	agree	agree	agree	FALSE	FALSE	FALSE	FALSE
3	2976	A lot of people in here, a lot of people pouring right now.	There aren't too many people outside protesting his speech at the Phoenix Convention Center.				unrelated	unrelated	discuss	unrelated	unknown	unknown	unknown	unknown
34	6542	We fully protect religious liberty.	Says Ted Cruz said, "There is no place for gays or atheists in my America. None. Our Constitution makes that clear."				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
34	9537	We fully protect religious liberty.	Says the Democrats told the Catholic Church that theyll use federal powers to shut down church charities and hospitals if the church doesnt change its beliefs.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
34	128	We fully protect religious liberty.	80% of the worlds population lives in countries where religious liberty is in significant danger or even completely outlawed.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
34	6080	We fully protect religious liberty.	There is debate among constitutional scholars about whether the First Amendment will continue to protect faith leaders from being forced to perform marriages against their religious beliefs.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
34	8728	We fully protect religious liberty.	The goal of Common Core is "to instill federally determined attitudes and mindsets in students including political and religious beliefs."				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
34	9369	We fully protect religious liberty.	Pentagon confirms they may court martial soldiers who hold Christian faith.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
34	2995	We fully protect religious liberty.	There are communities under Sharia law right now in our country. Up in Illinois. ... Theres Sharia law, as I understand it, in Illinois, Indiana  up there. I don't know.				not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
80	2990	What happened in Charlottesville strikes at the core of America.	White nationalist protesters in Charlottesville "had a permit. The other group didnt have a permit."	opinion			not-claim	not-claim	unrelated	not-claim	not-claim	not-claim	unknown	not-claim
80	3003	What happened in Charlottesville strikes at the core of America.	Charlottesville car attacker is antiTrump Antifa supporter.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
80	3006	What happened in Charlottesville strikes at the core of America.	Emails show Democrats, Hillary Clinton and George Soros instigated and orchestrated racial protests in Charlottesville by trying to "control" and keep people "desperate."				not-claim	not-claim	disagree	not-claim	not-claim	not-claim	unknown	not-claim
80	2986	What happened in Charlottesville strikes at the core of America.	Says there is proof Democrats hired actors to plan violence in Charlottesville.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
80	2978	What happened in Charlottesville strikes at the core of America.	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
80	2901	What happened in Charlottesville strikes at the core of America.	Democrats "setup"and "manipulated" the political violence in Charlottesville				not-claim	not-claim	discuss	not-claim	not-claim	not-claim	unknown	not-claim
88	2978	Just like they don't want to report that I spoke out forcefully against hatred, bigotry and violence and strongly condemned the neoNazis, the White Supremacists, and the KKK.	Rosa Parks daughter praises (President Donald) Trumps response to Charlottesville.				unrelated	unrelated	unrelated	unrelated	unknown	unknown	unknown	unknown
